representation,kv,sharer_layer,codec_layer,frequency_pct,mean_dct_power_unscaled,energy_0_10pct_auxiliary,spectral_centroid_pct_auxiliary
Raw Sharer KV,K,6,10,8.0,4.395296874409542,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,9.0,4.721930225705728,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,10.0,3.3953449542517777,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,11.0,2.6067605544358963,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,12.0,2.529305237750523,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,13.0,3.572941360897383,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,14.0,3.4605599875538604,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,15.0,2.116440454963595,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,16.0,1.4623433898715295,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,17.0,1.3065795290365356,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,18.0,1.3910426392080268,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,19.0,1.6649955627880992,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,20.0,2.1422648108564313,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,21.0,2.5162912606063768,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,22.0,1.7945912862359514,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,23.0,1.3772170424694197,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,24.0,1.1567066667741166,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,25.0,1.0786886204150505,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,26.0,1.0471962535532655,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,27.0,1.0297764848091187,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,28.0,0.9970146316173482,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,29.0,0.9878425374667854,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,30.0,1.2133684636966788,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,31.0,2.1641797611076607,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,32.0,4.201787673002113,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,33.0,2.96400921574561,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,34.0,1.8191216956474778,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,35.0,1.2566113342123564,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,36.0,1.021321969511919,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,37.0,0.914274472213583,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,38.0,0.8307106369349637,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,39.0,0.7848773830896241,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,40.0,0.7699635625584056,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,41.0,0.7578297702688724,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,42.0,0.742726033118087,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,43.0,0.7207380619150355,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,44.0,0.6980025142221707,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,45.0,0.7092775925528257,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,46.0,0.723209404589143,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,47.0,0.7083080442645592,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,48.0,0.6795652752974997,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,49.0,0.6411379334161751,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,50.0,0.612012219557073,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,51.0,0.6036915792524816,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,52.0,0.5739704023767259,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,53.0,0.5608810891612666,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,54.0,0.5784100327751366,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,55.0,0.6078556902735727,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,56.0,0.6157736004050827,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,57.0,0.5985771740885685,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,58.0,0.5783007043926052,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,59.0,0.5867520232585954,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,60.0,0.6111210618750187,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,61.0,0.6070544855814652,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,62.0,0.5929714834247714,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,63.0,0.5941595684591445,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,64.0,0.601204532934352,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,65.0,0.5925024243624648,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,66.0,0.5748882415634581,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,67.0,0.5911598731734556,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,68.0,0.6609085455117751,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,69.0,0.705968924935441,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,70.0,0.6780541845539121,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,71.0,0.6090114280511625,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,72.0,0.5474285885854624,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,73.0,0.5257384864776399,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,74.0,0.5033281635091404,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,75.0,0.47951320762513205,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,76.0,0.48799619243829506,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,77.0,0.5536497272102866,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,78.0,0.6170537815766878,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,79.0,0.6396812571235938,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,80.0,0.592892226803815,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,81.0,0.5119036786918876,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,82.0,0.46712963547848596,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,83.0,0.4911141463398241,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,84.0,0.5263401850161613,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,85.0,0.5342224531676041,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,86.0,0.5282428262237224,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,87.0,0.523694629961392,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,88.0,0.5290196495328567,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,89.0,0.5319775891114846,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,90.0,0.5245436841883926,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,91.0,0.5102274358726572,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,92.0,0.4894035691511815,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,93.0,0.49388289261085394,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,94.0,0.5023181028914407,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,95.0,0.4865386388555634,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,96.0,0.4745548353285995,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,97.0,0.48129364857915774,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,98.0,0.4902829391614062,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,99.0,0.48990857639058943,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,6,10,100.0,0.4853044192714151,0.7514128124729001,11.305162483701146
Raw Sharer KV,K,12,16,0.0,225.67640589177608,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,1.0,54.62054153081957,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,2.0,15.62476385426706,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,3.0,8.133154705478805,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,4.0,5.8473669057153135,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,5.0,5.496727437514349,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,6.0,5.304064199021085,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,7.0,4.253777248263363,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,8.0,4.494937131106848,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,9.0,4.9636639806092715,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,10.0,3.540154423087368,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,11.0,2.551087029910416,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,12.0,2.1226955199288198,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,13.0,2.4103907506400715,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,14.0,2.38458489574259,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,15.0,1.7190915396786302,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,16.0,1.2376470277877523,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,17.0,1.0827627628808851,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,18.0,1.260334926499053,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,19.0,1.6732431706157525,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,20.0,2.3762915716972213,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,21.0,3.041833561839307,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,22.0,2.238078743398657,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,23.0,1.5848409750347483,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,24.0,1.1783279782813048,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,25.0,1.001377142223646,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,26.0,0.9587303034169591,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,27.0,0.9490805117430857,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,28.0,0.9267902700440024,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,29.0,0.9635245897888668,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,30.0,1.212664800486528,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,31.0,1.9820977911807134,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,32.0,3.4439556863717766,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,33.0,2.466066813819922,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,34.0,1.553834206026512,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,35.0,1.0978523287776614,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,36.0,0.909575110049918,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,37.0,0.8246146240341484,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,38.0,0.7727170982805541,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,39.0,0.7644134721194855,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,40.0,0.7776415320229713,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,41.0,0.7409289047843773,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,42.0,0.6800454107497355,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,43.0,0.6498263019014848,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,44.0,0.6496272019739265,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,45.0,0.6716726895712783,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,46.0,0.6493059319583702,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,47.0,0.6030417991592547,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,48.0,0.5633881615614521,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,49.0,0.5607041834306437,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,50.0,0.5809873678954318,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,51.0,0.5750405683126881,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,52.0,0.5355877442436753,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,53.0,0.497397330121312,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,54.0,0.4821407276188258,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,55.0,0.473158895336383,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,56.0,0.4598342639300963,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,57.0,0.44913401536497993,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,58.0,0.4489627752389056,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,59.0,0.450660854199087,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,60.0,0.44421254360349816,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,61.0,0.41864897418854485,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,62.0,0.3993001053197079,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,63.0,0.3976748956908705,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,64.0,0.4096009249414784,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,65.0,0.4212974965776088,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,66.0,0.4468031445273665,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,67.0,0.4753090882499242,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,68.0,0.520819683339214,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,69.0,0.5213251667842268,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,70.0,0.4804131949698781,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,71.0,0.4354560663353183,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,72.0,0.40946263530873644,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,73.0,0.40388294100179356,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,74.0,0.39872506975138106,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,75.0,0.3812553766692872,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,76.0,0.39769867111346696,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,77.0,0.4504067971525368,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,78.0,0.5000409984233555,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,79.0,0.5075354087384768,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,80.0,0.4650501953670757,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,81.0,0.40735081348946556,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,82.0,0.37959820992866267,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,83.0,0.3954749410414665,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,84.0,0.4123634194070473,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,85.0,0.41037026484846134,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,86.0,0.4101251055841568,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,87.0,0.4283194515056672,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,88.0,0.45492015821393633,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,89.0,0.46245437247765947,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,90.0,0.4448996320366862,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,91.0,0.3993879016896245,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,92.0,0.3623738782841248,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,93.0,0.3450147417496192,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,94.0,0.3367910311988085,0.8186281926683522,8.011337183561112
Raw Sharer KV,K,12,16,95.0,0.3171715380565728,0.8186281926683522,8.011337183561112
